Date,Time,Voltage,Current,Power
10/26/20,15: 49: 14,246.4,0.12,22
10/26/20,15: 49: 14,251.6,0.12,25
10/26/20,15: 49: 14,251.6,0.15,19
10/26/20,15: 49: 14,249.9,0.15,19
10/26/20,15: 49: 14,249.9,0.12,22
10/26/20,15: 49: 14,249.9,0.12,22
10/26/20,15: 49: 14,250.4,0.12,23
10/26/20,15: 49: 14,250.4,0.15,24
10/26/20,15: 49: 14,250.4,0.15,17
10/26/20,15: 49: 14,248.3,0.15,19
10/26/20,15: 49: 14,248.3,0.12,18
10/26/20,15: 49: 14,246.5,0.12,18
10/26/20,15: 49: 14,246.5,0.12,20
10/26/20,15: 49: 14,246.5,0.12,18
10/26/20,15: 49: 14,248.0,0.12,18
10/26/20,15: 49: 14,248.0,0.13,18
10/26/20,15: 49: 14,248.0,0.13,19
10/26/20,15: 49: 14,248.1,0.13,18
10/26/20,15: 49: 14,248.1,0.12,21
10/26/20,15: 49: 14,247.8,0.12,21
10/26/20,15: 49: 14,247.8,0.12,22
10/26/20,15: 49: 14,247.8,0.12,18
10/26/20,15: 49: 14,247.2,0.12,18
10/26/20,15: 49: 14,247.2,0.12,19
10/26/20,15: 49: 14,247.2,0.12,20
10/26/20,15: 49: 14,250.8,0.12,17
10/26/20,15: 49: 14,250.8,0.12,17
10/26/20,15: 49: 14,247.5,0.12,17
10/26/20,15: 49: 14,247.5,0.13,25
10/26/20,15: 49: 14,247.5,0.13,18
10/26/20,15: 49: 14,250.8,0.13,21
10/26/20,15: 49: 14,250.8,0.13,20
10/26/20,15: 49: 14,250.8,0.13,19
10/26/20,15: 49: 14,249.7,0.13,18
10/26/20,15: 49: 14,249.7,0.12,18
10/26/20,15: 49: 14,248.3,0.12,18
10/26/20,15: 49: 14,248.3,0.13,21
10/26/20,15: 49: 14,248.3,0.13,20
10/26/20,15: 49: 14,248.7,0.13,18
10/26/20,15: 49: 14,248.7,0.12,17
10/26/20,15: 49: 14,248.7,0.12,18
10/26/20,15: 49: 14,245.5,0.12,23
10/26/20,15: 49: 14,245.5,0.15,26
10/26/20,15: 49: 14,251.3,0.15,26
10/26/20,15: 49: 14,251.3,0.13,20
10/26/20,15: 49: 14,251.3,0.13,23
10/26/20,15: 49: 14,251.7,0.13,19
10/26/20,15: 49: 14,251.7,0.12,19
10/26/20,15: 49: 14,251.7,0.12,22
10/26/20,15: 49: 14,251.0,0.12,20
10/26/20,15: 49: 14,251.0,0.13,17
10/26/20,15: 49: 14,250.6,0.13,17
10/26/20,15: 49: 14,250.6,0.07,9
10/26/20,15: 49: 14,250.6,0.07,8
10/26/20,15: 49: 14,249.7,0.07,10
10/26/20,15: 49: 14,249.7,0.08,11
10/26/20,15: 49: 14,249.7,0.08,9
10/26/20,15: 49: 14,250.4,0.08,10
10/26/20,15: 49: 14,250.4,0.07,10
10/26/20,15: 49: 14,251.2,0.07,10
10/26/20,15: 49: 14,251.2,0.07,9
10/26/20,15: 49: 14,251.2,0.07,8
10/26/20,15: 49: 14,251.8,0.07,9
10/26/20,15: 49: 14,251.8,0.07,9
10/26/20,15: 49: 14,251.8,0.07,10
10/26/20,15: 49: 14,250.3,0.07,10
10/26/20,15: 49: 14,250.3,0.07,21
10/26/20,15: 49: 14,250.1,0.07,21
10/26/20,15: 49: 14,250.1,0.07,9
10/26/20,15: 49: 14,250.1,0.07,9
10/26/20,15: 49: 14,245.7,0.07,10
10/26/20,15: 49: 14,245.7,0.1,12
10/26/20,15: 49: 14,245.7,0.1,9
10/26/20,15: 49: 14,251.5,0.1,10
10/26/20,15: 49: 14,251.5,0.08,12
10/26/20,15: 49: 14,251.6,0.08,12
10/26/20,15: 49: 14,251.6,0.07,11
10/26/20,15: 49: 14,251.6,0.07,9
10/26/20,15: 49: 14,250.7,0.07,10
10/26/20,15: 49: 14,250.7,0.07,9
10/26/20,15: 49: 14,250.7,0.07,9
10/26/20,15: 49: 14,251.0,0.07,10
10/26/20,15: 49: 14,251.0,0.07,9
10/26/20,15: 49: 14,250.8,0.07,9
10/26/20,15: 49: 14,250.8,0.07,9
10/26/20,15: 49: 14,250.8,0.07,9
10/26/20,15: 49: 14,247.6,0.07,17
10/26/20,15: 49: 14,247.6,0.12,18
10/26/20,15: 49: 14,247.6,0.12,18
10/26/20,15: 49: 14,251.7,0.12,10
10/26/20,15: 49: 14,251.7,0.07,10
10/26/20,15: 49: 14,251.5,0.07,10
10/26/20,15: 49: 14,251.5,0.09,20
10/26/20,15: 49: 14,251.5,0.09,9
10/26/20,15: 49: 14,251.3,0.09,9
10/26/20,15: 49: 14,251.3,0.07,10
10/26/20,15: 49: 14,251.3,0.07,9
10/26/20,15: 49: 14,250.8,0.07,9
10/26/20,15: 49: 14,250.8,0.07,10
10/26/20,15: 49: 14,248.5,0.07,10
10/26/20,15: 49: 14,248.5,0.07,9
10/26/20,15: 49: 14,248.5,0.07,9
10/26/20,15: 49: 14,250.1,0.07,9
10/26/20,15: 49: 14,250.1,0.07,9
10/26/20,15: 49: 14,250.1,0.07,9
10/26/20,15: 49: 14,249.6,0.07,12
10/26/20,15: 49: 14,249.6,0.07,8
10/26/20,15: 49: 14,247.7,0.07,8
10/26/20,15: 49: 14,247.7,0.07,10
10/26/20,15: 49: 14,247.7,0.07,10
10/26/20,15: 49: 14,247.1,0.07,10
10/26/20,15: 49: 14,247.1,0.07,10
10/26/20,15: 49: 14,247.1,0.07,19
10/26/20,15: 49: 14,248.1,0.07,18
10/26/20,15: 49: 14,248.1,0.12,19
10/26/20,15: 49: 14,246.5,0.12,19
10/26/20,15: 49: 14,246.5,0.12,19
10/26/20,15: 49: 14,246.5,0.12,19
10/26/20,15: 49: 14,249.8,0.12,21
10/26/20,15: 49: 14,249.8,0.12,17
10/26/20,15: 49: 14,249.8,0.12,19
10/26/20,15: 49: 14,251.3,0.12,19
10/26/20,15: 49: 14,251.3,0.14,18
10/26/20,15: 49: 14,240.2,0.14,18
10/26/20,15: 49: 14,240.2,0.12,19
10/26/20,15: 49: 14,240.2,0.12,17
10/26/20,15: 49: 14,239.6,0.12,19
10/26/20,15: 49: 14,239.6,0.12,18
10/26/20,15: 49: 14,239.6,0.12,16
10/26/20,15: 49: 14,236.6,0.12,19
10/26/20,15: 49: 14,236.6,0.13,18
10/26/20,15: 49: 14,239.7,0.13,18
10/26/20,15: 49: 14,239.7,0.12,18
10/26/20,15: 49: 14,239.7,0.12,18
10/26/20,15: 49: 14,241.1,0.12,18
10/26/20,15: 49: 14,241.1,0.13,20
10/26/20,15: 49: 14,241.1,0.13,18
10/26/20,15: 49: 14,235.2,0.13,18
10/26/20,15: 49: 14,235.2,0.12,18
10/26/20,15: 49: 14,235.8,0.12,18
10/26/20,15: 49: 14,235.8,0.13,19
10/26/20,15: 49: 14,235.8,0.13,20
10/26/20,15: 49: 14,235.4,0.13,18
10/26/20,15: 49: 14,235.4,0.13,18
10/26/20,15: 49: 14,235.4,0.13,17
10/26/20,15: 49: 14,216.7,0.13,24
10/26/20,15: 49: 14,216.7,0.14,18
10/26/20,15: 49: 14,223.6,0.14,18
10/26/20,15: 49: 14,223.6,0.12,16
10/26/20,15: 49: 14,223.6,0.12,18
10/26/20,15: 49: 14,234.2,0.12,19
10/26/20,15: 49: 14,234.2,0.14,19
10/26/20,15: 49: 14,234.2,0.14,18
10/26/20,15: 49: 14,228.1,0.14,18
10/26/20,15: 49: 14,228.1,0.13,20
10/26/20,15: 49: 14,242.2,0.13,20
10/26/20,15: 49: 14,242.2,0.13,18
10/26/20,15: 49: 14,242.2,0.13,19
10/26/20,15: 49: 14,230.1,0.13,19
10/26/20,15: 49: 14,230.1,0.13,18
10/26/20,15: 49: 14,230.1,0.13,18
10/26/20,15: 49: 14,232.8,0.13,20
10/26/20,15: 49: 14,232.8,0.13,22
10/26/20,15: 49: 14,230.1,0.13,22
10/26/20,15: 49: 14,230.1,0.14,21
10/26/20,15: 49: 14,230.1,0.14,22
10/26/20,15: 49: 14,230.9,0.14,19
10/26/20,15: 49: 14,230.9,0.13,19
10/26/20,15: 49: 14,230.9,0.13,17
10/26/20,15: 49: 14,231.1,0.13,18
10/26/20,15: 49: 14,231.1,0.12,16
10/26/20,15: 49: 14,229.3,0.12,16
10/26/20,15: 49: 14,229.3,0.07,9
10/26/20,15: 49: 14,229.3,0.07,9
10/26/20,15: 49: 14,227.9,0.07,10
10/26/20,15: 49: 14,227.9,0.07,9
10/26/20,15: 49: 14,227.9,0.07,12
10/26/20,15: 49: 14,228.0,0.07,9
10/26/20,15: 49: 14,228.0,0.07,9
10/26/20,15: 49: 14,227.9,0.07,9
10/26/20,15: 49: 14,227.9,0.07,8
10/26/20,15: 49: 14,227.9,0.07,10
10/26/20,15: 49: 14,228.1,0.07,10
10/26/20,15: 49: 14,228.1,0.07,8
10/26/20,15: 49: 14,228.1,0.07,9
10/26/20,15: 49: 14,226.7,0.07,9
10/26/20,15: 49: 14,226.7,0.1,13
10/26/20,15: 49: 14,222.3,0.1,13
10/26/20,15: 49: 14,222.3,0.1,9
10/26/20,15: 49: 14,222.3,0.1,9
10/26/20,15: 49: 14,232.9,0.1,8
10/26/20,15: 49: 14,232.9,0.08,9
10/26/20,15: 49: 14,232.9,0.08,19
10/26/20,15: 49: 14,229.0,0.08,19
10/26/20,15: 49: 14,229.0,0.13,19
10/26/20,15: 49: 14,235.2,0.13,19
10/26/20,15: 49: 14,235.2,0.14,17
10/26/20,15: 49: 14,235.2,0.14,18
10/26/20,15: 49: 14,228.5,0.14,18
10/26/20,15: 49: 14,228.5,0.12,20
10/26/20,15: 49: 14,228.5,0.12,19
10/26/20,15: 49: 14,217.2,0.12,18
10/26/20,15: 49: 14,217.2,0.14,19
10/26/20,15: 49: 14,231.5,0.14,19
10/26/20,15: 49: 14,231.5,0.13,17
10/26/20,15: 49: 14,231.5,0.13,18
10/26/20,15: 49: 14,231.4,0.13,18
10/26/20,15: 49: 14,231.4,0.14,17
10/26/20,15: 49: 14,231.4,0.14,19
10/26/20,15: 49: 14,231.5,0.14,20
10/26/20,15: 49: 14,231.5,0.14,17
10/26/20,15: 49: 14,228.4,0.14,17
10/26/20,15: 49: 14,228.4,0.14,18
10/26/20,15: 49: 14,228.4,0.14,18
10/26/20,15: 49: 14,232.5,0.14,18
10/26/20,15: 49: 14,232.5,0.13,17
10/26/20,15: 49: 14,232.5,0.13,17
10/26/20,15: 49: 14,231.4,0.13,19
10/26/20,15: 49: 14,231.4,0.14,22
10/26/20,15: 49: 14,231.8,0.14,22
10/26/20,15: 49: 14,231.8,0.14,20
10/26/20,15: 49: 14,231.8,0.14,19
10/26/20,15: 49: 14,231.9,0.14,18
10/26/20,15: 49: 14,231.9,0.14,18
10/26/20,15: 49: 14,231.9,0.14,18
10/26/20,15: 49: 14,228.2,0.14,18
10/26/20,15: 49: 14,228.2,0.14,19
10/26/20,15: 49: 14,230.7,0.14,19
10/26/20,15: 49: 14,230.7,0.14,18
10/26/20,15: 49: 14,230.7,0.14,19
10/26/20,15: 49: 14,229.5,0.14,19
10/26/20,15: 49: 14,229.5,0.14,18
10/26/20,15: 49: 14,229.5,0.14,17
10/26/20,15: 49: 14,230.1,0.14,18
10/26/20,15: 49: 14,230.1,0.14,17
10/26/20,15: 49: 14,231.5,0.14,17
10/26/20,15: 49: 14,231.5,0.14,18
10/26/20,15: 49: 14,231.5,0.14,17
10/26/20,15: 49: 14,227.7,0.14,18
10/26/20,15: 49: 14,227.7,0.15,18
10/26/20,15: 49: 14,227.7,0.15,18
10/26/20,15: 49: 14,225.2,0.15,18
10/26/20,15: 49: 14,225.2,0.15,22
10/26/20,15: 49: 14,226.7,0.15,22
10/26/20,15: 49: 14,226.7,0.16,21
10/26/20,15: 49: 14,226.7,0.16,22
10/26/20,15: 49: 14,225.8,0.16,20
10/26/20,15: 49: 14,225.8,0.14,18
10/26/20,15: 49: 14,225.8,0.14,18
10/26/20,15: 49: 14,226.4,0.14,18
10/26/20,15: 49: 14,226.4,0.14,17
10/26/20,15: 49: 14,223.8,0.14,17
10/26/20,15: 49: 14,223.8,0.08,10
10/26/20,15: 49: 14,223.8,0.08,8
10/26/20,15: 49: 14,221.3,0.08,9
10/26/20,15: 49: 14,221.3,0.08,9
10/26/20,15: 49: 14,221.3,0.08,9
10/26/20,15: 49: 14,227.4,0.08,9
10/26/20,15: 49: 14,227.4,0.08,9
10/26/20,15: 49: 14,227.8,0.08,9
10/26/20,15: 49: 14,227.8,0.08,10
10/26/20,15: 49: 14,227.8,0.08,10
10/26/20,15: 49: 14,229.9,0.08,10
10/26/20,15: 49: 14,229.9,0.07,9
10/26/20,15: 49: 14,229.9,0.07,9
10/26/20,15: 49: 14,227.5,0.07,11
10/26/20,15: 49: 14,227.5,0.08,8
10/26/20,15: 49: 14,224.9,0.08,8
10/26/20,15: 49: 14,224.9,0.12,14
10/26/20,15: 49: 14,224.9,0.12,11
10/26/20,15: 49: 14,221.5,0.12,9
10/26/20,15: 49: 14,221.5,0.09,11
10/26/20,15: 49: 14,221.5,0.09,18
10/26/20,15: 49: 14,204.9,0.09,18
10/26/20,15: 49: 14,204.9,0.15,19
10/26/20,15: 49: 14,214.8,0.15,19
10/26/20,15: 49: 14,214.8,0.15,18
10/26/20,15: 49: 14,214.8,0.15,19
10/26/20,15: 49: 14,211.0,0.15,17
10/26/20,15: 49: 14,211.0,0.2,19
10/26/20,15: 49: 14,211.0,0.2,20
10/26/20,15: 49: 14,223.6,0.2,17
10/26/20,15: 49: 14,223.6,0.14,18
10/26/20,15: 49: 14,217.2,0.14,18
10/26/20,15: 49: 14,217.2,0.14,17
10/26/20,15: 49: 14,217.2,0.14,14
10/26/20,15: 49: 14,146.4,0.14,25
10/26/20,15: 49: 14,146.4,0.23,29
10/26/20,15: 49: 14,146.4,0.23,33
10/26/20,15: 49: 14,140.4,0.23,26
10/26/20,15: 49: 14,140.4,0.28,22
10/26/20,15: 49: 14,138.5,0.28,22
10/26/20,15: 49: 14,138.5,0.18,18
10/26/20,15: 49: 14,138.5,0.18,17
10/26/20,15: 49: 14,140.3,0.18,17
10/26/20,15: 49: 14,140.3,0.18,19
10/26/20,15: 49: 14,140.3,0.18,18
10/26/20,15: 49: 14,142.9,0.18,17
10/26/20,15: 49: 14,142.9,0.18,17
10/26/20,15: 49: 14,142.2,0.18,17
10/26/20,15: 49: 14,142.2,0.17,22
10/26/20,15: 49: 14,142.2,0.17,17
10/26/20,15: 49: 14,148.1,0.17,18
10/26/20,15: 49: 14,148.1,0.17,18
10/26/20,15: 49: 14,148.1,0.17,17
10/26/20,15: 49: 14,148.0,0.17,18
10/26/20,15: 49: 14,148.0,0.17,18
10/26/20,15: 49: 14,151.3,0.17,18
10/26/20,15: 49: 14,151.3,0.16,18
10/26/20,15: 49: 14,151.3,0.16,17
10/26/20,15: 49: 14,155.9,0.16,18
10/26/20,15: 49: 14,155.9,0.21,25
10/26/20,15: 49: 14,155.9,0.21,24
10/26/20,15: 49: 14,158.5,0.21,20
10/26/20,15: 49: 14,158.5,0.19,22
10/26/20,15: 49: 14,158.9,0.19,22
10/26/20,15: 49: 14,158.9,0.17,19
10/26/20,15: 49: 14,158.9,0.17,19
10/26/20,15: 49: 14,155.3,0.17,18
10/26/20,15: 49: 14,155.3,0.18,19
10/26/20,15: 49: 14,155.3,0.18,27
10/26/20,15: 49: 14,154.7,0.18,18
10/26/20,15: 49: 14,154.7,0.17,20
10/26/20,15: 49: 14,156.5,0.17,20
10/26/20,15: 49: 14,156.5,0.2,22
10/26/20,15: 49: 14,156.5,0.2,23
10/26/20,15: 49: 14,157.6,0.2,23
10/26/20,15: 49: 14,157.6,0.19,21
10/26/20,15: 49: 14,157.6,0.19,19
10/26/20,15: 49: 14,158.0,0.19,19
10/26/20,15: 49: 14,158.0,0.19,17
10/26/20,15: 49: 14,155.0,0.19,17
10/26/20,15: 49: 14,155.0,0.16,17
10/26/20,15: 49: 14,155.0,0.16,9
10/26/20,15: 49: 14,154.7,0.16,8
10/26/20,15: 49: 14,154.7,0.09,9
10/26/20,15: 49: 14,154.7,0.09,8
10/26/20,15: 49: 14,154.9,0.09,9
10/26/20,15: 49: 14,154.9,0.09,8
10/26/20,15: 49: 14,156.8,0.09,8
10/26/20,15: 49: 14,156.8,0.1,9
10/26/20,15: 49: 14,156.8,0.1,10
10/26/20,15: 49: 14,157.1,0.1,9
10/26/20,15: 49: 14,157.1,0.1,9
10/26/20,15: 49: 14,157.1,0.1,14
10/26/20,15: 49: 14,156.3,0.1,9
10/26/20,15: 49: 14,156.3,0.11,11
10/26/20,15: 49: 14,154.6,0.11,11
10/26/20,15: 49: 14,154.6,0.09,8
10/26/20,15: 49: 14,154.6,0.09,9
10/26/20,15: 49: 14,156.8,0.09,10
10/26/20,15: 49: 14,156.8,0.12,8
10/26/20,15: 49: 14,156.8,0.12,10
10/26/20,15: 49: 14,155.9,0.12,9
10/26/20,15: 49: 14,155.9,0.09,9
10/26/20,15: 49: 14,155.0,0.09,9
10/26/20,15: 49: 14,155.0,0.09,8
10/26/20,15: 49: 14,155.0,0.09,8
10/26/20,15: 49: 14,156.1,0.09,8
10/26/20,15: 49: 14,156.1,0.1,8
10/26/20,15: 49: 14,156.1,0.1,9
10/26/20,15: 49: 14,154.1,0.1,8
10/26/20,15: 49: 14,154.1,0.09,9
10/26/20,15: 49: 14,155.6,0.09,9
10/26/20,15: 49: 14,155.6,0.09,8
10/26/20,15: 49: 14,155.6,0.09,9
10/26/20,15: 49: 14,155.7,0.09,8
10/26/20,15: 49: 14,155.7,0.1,9
10/26/20,15: 49: 14,155.7,0.1,9
10/26/20,15: 49: 14,157.4,0.1,8
10/26/20,15: 49: 14,157.4,0.14,12
10/26/20,15: 49: 14,153.2,0.14,12
10/26/20,15: 49: 14,153.2,0.09,8
10/26/20,15: 49: 14,153.2,0.09,8
10/26/20,15: 49: 14,141.4,0.09,9
10/26/20,15: 49: 14,141.4,0.09,8
10/26/20,15: 49: 14,141.4,0.09,8
10/26/20,15: 49: 14,155.3,0.09,9
10/26/20,15: 49: 14,155.3,0.1,8
10/26/20,15: 49: 14,148.6,0.1,8
10/26/20,15: 49: 14,148.6,0.11,9
10/26/20,15: 49: 14,148.6,0.11,9
10/26/20,15: 49: 14,145.6,0.11,9
10/26/20,15: 49: 14,145.6,0.1,10
10/26/20,15: 49: 14,145.6,0.1,8
10/26/20,15: 49: 14,145.9,0.1,9
10/26/20,15: 49: 14,145.9,0.1,9
10/26/20,15: 49: 14,145.4,0.1,9
10/26/20,15: 49: 14,145.4,0.1,9
10/26/20,15: 49: 14,145.4,0.1,10
10/26/20,15: 49: 14,148.3,0.1,8
10/26/20,15: 49: 14,148.3,0.1,9
10/26/20,15: 49: 14,148.3,0.1,17
10/26/20,15: 49: 14,146.5,0.1,18
10/26/20,15: 49: 14,146.5,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,146.0,0.17,19
10/26/20,15: 49: 14,146.0,0.18,18
10/26/20,15: 49: 14,146.0,0.18,17
10/26/20,15: 49: 14,141.3,0.18,18
10/26/20,15: 49: 14,141.3,0.21,18
10/26/20,15: 49: 14,143.9,0.21,18
10/26/20,15: 49: 14,143.9,0.19,18
10/26/20,15: 49: 14,143.9,0.19,18
10/26/20,15: 49: 14,148.3,0.19,18
10/26/20,15: 49: 14,148.3,0.17,17
10/26/20,15: 49: 14,148.3,0.17,17
10/26/20,15: 49: 14,147.2,0.17,18
10/26/20,15: 49: 14,147.2,0.18,18
10/26/20,15: 49: 14,149.8,0.18,18
